Land;Name;Zeit;Durchgang
AUT;Mario MATT;46.70;1
SWE;Andre MYHRER;47.15;1
ITA;Stefano GROSS;47.45;1
SWE;Mattias HARGIN;47.45;1
FRA;Jean-Baptiste GRANGE;47.47;1
USA;Ted LIGETY;47.56;1
GER;Felix NEUREUTHER;47.57;1
FRA;Alexis PINTURAULT;47.78;1
AUT;Marcel HIRSCHER;47.98;1
SWE;Markus LARSSON;48.04;1
SLO;Mitja VALENCIC;48.32;1
SUI;Daniel YULE;48.38;1
ITA;Manfred MOELGG;48.38;1
GER;Fritz DOPFER;48.46;1
NOR;Henrik KRISTOFFERSEN;48.49;1
ITA;Giuliano RAZZOLI;48.50;1
FRA;Julien LIZEROUX;48.69;1
USA;Nolan KASPER;48.70;1
RUS;Alexander KHOROSHILOV;48.71;1
JPN;Naoki YUASA;48.74;1
CRO;Ivica KOSTELIC;48.75;1
CAN;Michael JANYK;48.82;1
NOR;Leif Kristian HAUGEN;48.83;1
SWE;Axel BAECK;49.02;1
NOR;Sebastian-Foss SOLEVAAG;49.08;1
SVK;Adam ZAMPA;49.34;1
GBR;David RYDING;49.40;1
JPN;Akira SASAKI;49.54;1
CAN;Trevor PHILP;49.55;1
CAN;Brad SPENCE;49.55;1
FIN;Santeri PALONIEMI;49.57;1
CZE;Krystof KRYZL;49.63;1
SUI;Justin MURISIER;49.92;1
CAN;Philip BROWN;49.97;1
CRO;Natko ZRNCIC-DIM;50.64;1
CRO;Dalibor SAMSAL;50.71;1
GER;Stefan LUITZ;50.79;1
CZE;Filip TREJBAL;50.80;1
SUI;Ramon ZENHAEUSERN;51.01;1
BUL;Nikola CHONGAROV;51.12;1
RUS;Pavel TRIKHICHEV;51.63;1
CRO;Matej VIDOVIC;51.74;1
GEO;Iason ABRAMASHVILI;52.59;1
ROU;Alexandru BARBU;52.82;1
POL;Michal JASICZEK;52.88;1
ARG;Sebastiano GASTALDI;53.24;1
LIE;Marco PFIFFNER;53.46;1
ESP;Alex PUENTE TASIAS;53.73;1
ISL;Einar Kristinn KRISTGEIRSSON;54.04;1
NZL;Adam BARWOOD;54.21;1
MAR;Adam LAMHAMEDI;54.47;1
BIH;Igor LAIKERT;54.68;1
POL;Mateusz GARNIEWICZ;54.93;1
EST;Warren Cummings SMITH;55.08;1
IRI;Mohammad KIYADARBANDSARI;55.09;1
MKD;Antonio RISTEVSKI;55.38;1
IRI;Hossein SAVEH SHEMSHAKI;55.46;1
HUN;Norbert FARKAS;55.68;1
MON;Olivier JENOT;55.89;1
ARM;Arman SEREBRAKIAN;55.90;1
LAT;Martins ONSKULIS;56.16;1
ISL;Brynjar Jokull GUDMUNDSSON;56.85;1
CHI;Eugenio CLARO;57.08;1
GRE;Kostas SYKARAS;57.83;1
PER;Manfred OETTL REYES;58.36;1
AUS;Dominic DEMSCHAR;58.52;1
SVK;Andreas ZAMPA;58.65;1
GRE;Massimiliano VALCAREGGI;58.97;1
BRA;Jhonatan LONGHI;59.24;1
UZB;Artem VORONOV;1:00.42;1
MNE;Tarik HADZIC;1:00.95;1
UKR;Dmytro MYTSAK;1:01.57;1
KGZ;Evgeniy TIMOFEEV;1:02.47;1
IRL;Conor LYNE;1:03.58;1
LIB;Alexandre MOHBAT;1:03.77;1
CAY;Dow TRAVERS;1:07.03;1
TLS;Yohan Goncalves GOUTT;1:09.01;1
